number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,2.1148524391659485,2026-09-12 15:08:52.419543,2026-09-12 15:08:54.040835,0 days 00:00:01.621292,0.9042460755282506,1.0037332873493972,0.12502471924044323,11,8,250,0.32385653032452305,4.523240789199396,0.9005968355918041,,COMPLETE
1,1.554174240327048,2026-09-12 15:08:54.041326,2026-09-12 15:09:00.114313,0 days 00:00:06.072987,0.9218151071763313,1.6111480461822887,0.01961434534726558,11,6,898,1.7285792260723109e-06,0.010921283338025736,0.8863108940377529,,COMPLETE
2,2.4572466631277887,2026-09-12 15:09:00.114802,2026-09-12 15:09:01.367635,0 days 00:00:01.252833,0.7320917223593776,4.067943953305872,0.055913340427024595,6,3,305,0.28897269124487873,0.0038872796110368205,0.7528064201255016,,COMPLETE
3,1.8614373572277023,2026-09-12 15:09:01.368045,2026-09-12 15:09:04.336818,0 days 00:00:02.968773,0.8871375883243124,4.571730456220159,0.0623900969909791,6,8,765,2.465637985336967e-07,0.13605349886710028,0.7033257292105263,,COMPLETE
4,3.175339306572544,2026-09-12 15:09:04.337260,2026-09-12 15:09:06.265514,0 days 00:00:01.928254,0.6305536580099528,1.2369341794070854,0.049603763389512605,4,8,586,0.0011310087215716763,0.5530197465886784,0.8145365481425412,,COMPLETE
5,1.5655700007652509,2026-09-12 15:09:06.265915,2026-09-12 15:09:09.959231,0 days 00:00:03.693316,0.9686128917514929,1.7328480302359417,0.019265535367505214,6,4,868,0.5397398430322299,0.03045083759727135,0.8543299639484188,,COMPLETE
6,2.627288942313725,2026-09-12 15:09:09.959753,2026-09-12 15:09:13.608709,0 days 00:00:03.648956,0.6257204277230443,3.4047934615577944,0.06786895844904763,7,6,791,0.038094056372377415,0.732597022431463,0.9399064372695816,,COMPLETE
7,1.530740577087304,2026-09-12 15:09:13.609176,2026-09-12 15:09:16.890977,0 days 00:00:03.281801,0.998950579071641,1.5751152955931684,0.023841717524717213,8,2,487,1.4651122031272677e-07,0.8074103344575568,0.687515548307326,,COMPLETE
8,3.2508330378309616,2026-09-12 15:09:16.891504,2026-09-12 15:09:20.380597,0 days 00:00:03.489093,0.6675794856183578,0.4620458431330665,0.02176392126815155,10,1,237,0.12969558877214438,0.007816580028417501,0.9120375952191808,,COMPLETE
9,2.3719120460436662,2026-09-12 15:09:20.381105,2026-09-12 15:09:21.676201,0 days 00:00:01.295096,0.691524381765969,1.3480221816891742,0.08645329678449665,7,7,221,6.342108763201428e-06,0.0012990340470466512,0.6236108956660283,,COMPLETE
10,1.6039262009656,2026-09-12 15:09:21.676693,2026-09-12 15:09:24.739351,0 days 00:00:03.062658,0.9845122242364364,2.9224175898378695,0.047831981771612846,6,5,628,8.198336640401554e-08,0.6793489275136642,0.8308153174908792,"{""colsample_bytree"": 0.9845122242364364, ""gamma"": 2.9224175898378695, ""learning_rate"": 0.047831981771612846, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 628, ""reg_alpha"": 8.198336640401554e-08, ""reg_lambda"": 0.6793489275136642, ""subsample"": 0.8308153174908792}",COMPLETE
